"The license you give us is only for the above purposes. That means we will not, for example, sell or license your User Content to third-party data brokers.",Grammarly will not sell your content to third-party companies
"The license you give us allows us to, solely for the purposes outlined above, store, reproduce, use, publish and publicly display to you, modify and create derivative works of (such as providing writing suggestions and auto-correcting words), and permit (this is called a sublicense) our service providers to process your User Content solely for the purpose of helping us provide the Grammarly Site, Software and Services to you. For more information about how we care for and protect your User Content, please see our User Trust Guidelines.",The license allows us to only modify and create alternate versions of your content.
"Grammarly does not own, control, verify, or endorse User Content. You are responsible for all your User Content. That means you should back up all your User Content and not do anything illegal or harmful with it (including violate any intellectual property or trade secret laws).",Grammarly does not own your content.
"We only send marketing communications to users located in the European Economic Area (EEA) with your prior consent, and you may withdraw your consent at any time by clicking the “unsubscribe” link found within Grammarly emails and changing your contact preferences. Please note you will continue to receive transactional messages related to our Services, even if you unsubscribe from marketing emails.",We only send marketing comunications to users located in the European Economic Area (EEA) with your consent. You can withdraw your consent at any time. You will continue to receive transactional messages related to our services.
"Grammarly does not collect personally identifiable information from you except to the extent you have explicitly given such information to Grammarly. Grammarly’s information practices are further described in its privacy policy, which is available at: grammarly.com/privacy-policy (the “Privacy Policy”). The Privacy Policy is an integral part of this Agreement and is expressly incorporated by reference, and by entering into this Agreement you agree to (i) all of the terms of the Privacy Policy, and (ii) Grammarly’s use of data as described in the Privacy Policy is not an actionable breach of your privacy or publicity rights.",Grammarly does not collect personal information except information given by the privacy policy.
"In addition, Grammarly may engage third parties to conduct risk control and fraud detection/prevention activities. As part of such engagements, if you initiate a transaction on the Site or through the Services, Grammarly may give such third parties access to your pertinent credit card and other personal information. Such third parties may only use such personal information for purposes of performing risk control and fraud detection/prevention activities for us. However, they may also convert such personal information into hashed or encoded representations of such information to be used for statistical and/or fraud prevention purposes. By initiating any such transaction, you hereby consent to the foregoing disclosure and use of your information.",Grammarly may use third parties to conduct risk and fraud detection. Grammarly can give such third parties access to your credit card and other personal information. This will be used for performing risk and fraud detection. Third parties may also convert such personal information into statistics for fraud prevention purposes.
"By using the Services, you acknowledge that Etsy will use your information in the United States, Ireland, and any other country where Etsy operates. Please be aware that the privacy laws and standards in certain countries, including the rights of authorities to access your personal information, may differ from those that apply in the country in which you reside. We will transfer personal information only to those countries to which we are permitted by law to transfer personal information as more fully described in the ""Transfers"" Section of this policy.",Etsy will use your information in whatever country Etsy operates in accordance to their privacy laws and standards.
"In the course of providing our Services, we collect or receive your personal information in a few different ways. We obtain the categories of personal information listed below from the following sources: directly from you, for example, from forms you complete or during registration; indirectly from you based on your activity and interaction with our Services, or from the device or browser you use to access the Services; from our vendors and suppliers that help provide Etsy services you may interact with (such as, for example, for payments or customer support), and from our third party advertising and marketing partners. Often, you choose what information to provide, but sometimes we require certain information to provide you the Services. Etsy uses the personal information it receives and collects in accordance with the purposes described in this policy.","They obtain personal information from you, indirecly from your activity and interaction with our Services, or from the device or browser you use to access the Services."
"Automated Information: Etsy automatically receives and records information from your browser or your mobile device when you visit the Site, use the Apps, or use certain features of the Services, such as your IP address or unique device identifier, cookies, and data about which pages you visit and how you interact with those pages in order to allow us to operate and provide the Services. This information is stored in log files and is collected automatically. Etsy may also receive similar information (like, for example, IP addresses and actions taken on the device) provided by a connected Internet of Things device such as a voice-activated assistant or Smart TV. We may combine this information from your browser or your mobile device with other information that we or our advertising or marketing partners collect about you, including across devices. This information is used to prevent fraud and to keep the Services secure, to analyze and understand how the Services work for members and visitors, and to provide advertising, including across your devices, and a more personalized experience for members and visitors.","Etsy records information from your browser or mobile device: IP Address or unqiue device identifier, cookies, and data about which pages you visit and how you interact with those pages. This information is used to prevent fraud and provide advertising."
"Data from Advertising and Marketing Partners: As described below, Etsy receives information from our advertising and marketing partners about you. This information can include attribution information via cookies and UTM tags in URLs to determine where a visit to Etsy comes from, responses to marketing emails and advertisements, responses to offers, and audience information from partners who you have given consent to share that information with us.","Data from adversting and marketing partners collect attribution information, responses to marketing emails and advertisements, and responses to offers."
